"EXT","EST","AGR","CSN","OPN","count","Country"
-1.32951945080092,20.5789473684211,11.8260869565217,8.53775743707094,20.974828375286,437,"JO"
-0.525607863424728,18.2571132953958,12.0051733057424,8.37454733574754,19.949818934299,1933,"JP"
-1.71032028469751,17.467615658363,15.044128113879,12.111743772242,20.8619217081851,1405,"KE"
-1.77777777777778,18.9444444444444,10.5555555555556,8.83333333333333,19.5,54,"KG"
-1.51688311688312,20.3272727272727,11.3246753246753,8.85194805194805,15.9714285714286,385,"KH"
2,6,10,22,20,1,"KM"
-6.33333333333333,20.8666666666667,13.4666666666667,9,20.2666666666667,15,"KN"
-0.722536095417451,18.5894538606403,11.4940364092906,8.08097928436911,20.0119271814187,1593,"KR"
-1.33501259445844,19.8438287153652,12.3551637279597,9.15617128463476,19.7304785894207,397,"KW"
-2.31746031746032,18.047619047619,13.3333333333333,10.047619047619,20.3968253968254,63,"KY"
0.566539923954373,19.4467680608365,10.7908745247148,9.24904942965779,18.3479087452471,526,"KZ"
-1.73214285714286,18.5,13.5357142857143,10.4642857142857,19.3035714285714,56,"LA"
0.861409796893668,18.9689366786141,13.7395459976105,10.1433691756272,19.9080047789725,837,"LB"
-5.19047619047619,20.3333333333333,16.4285714285714,11.5714285714286,23.047619047619,21,"LC"
3.16666666666667,16,17.6666666666667,9.66666666666667,23.5,6,"LI"
0.385714285714286,18.5042857142857,12.8542857142857,9.68428571428571,18.1171428571429,700,"LK"
-6.6,13.8,17.6,17.2,20.2,5,"LR"
-1.75,18.5833333333333,14.5833333333333,11.5833333333333,20.25,12,"LS"
-2.47320617620345,19.7266121707539,10.2661217075386,7.60036330608538,20.3079019073569,1101,"LT"
-0.220183486238532,17.5,12.5137614678899,9.37614678899082,21.6697247706422,218,"LU"
-1.6247582205029,19.1953578336557,10.3636363636364,7.64603481624758,21.0483558994197,517,"LV"
-3.14705882352941,18.3823529411765,10.6764705882353,6.17647058823529,20.8235294117647,34,"LY"
-3.72745490981964,19.8056112224449,10.9939879759519,7.72745490981964,21.8517034068136,499,"MA"
-5.4,23.8,11.4,14.4,20.4,5,"MC"
-2.53030303030303,19.9090909090909,10.719696969697,8.50757575757576,21.8484848484848,132,"MD"
0.626760563380282,16.8943661971831,13.112676056338,10.1267605633803,22.4507042253521,142,"ME"
-9,12,16,12,18,1,"MF"
-3.08333333333333,17.25,7.5,8.91666666666667,24.5,12,"MG"
9,10,16,12,16,1,"MH"
-0.0594900849858357,19.0084985835694,11.7818696883853,8.43909348441926,21.9405099150142,353,"MK"
3.33333333333333,11,15.6666666666667,14.6666666666667,29,3,"ML"
-0.523255813953488,19.0116279069767,12.3837209302326,8.5,18.0697674418605,86,"MM"
-1.63888888888889,17.8611111111111,11.5694444444444,7.77777777777778,18.3055555555556,72,"MN"
-0.708609271523179,18.9668874172185,12.6423841059603,8.93377483443709,15.5066225165563,302,"MO"
-11.8333333333333,25.1666666666667,4.16666666666667,7.83333333333333,21.1666666666667,6,"MP"
-4.2,19.8,9.6,5,21,5,"MQ"
2,20.3333333333333,15.6666666666667,6,17.3333333333333,3,"MR"
-4.5,17,9.5,6,22.5,2,"MS"
-1.08201058201058,19.8253968253968,13.1507936507937,8.87037037037037,21.7486772486773,378,"MT"
-0.903743315508021,17.9197860962567,13.1978609625668,11.5828877005348,20.7860962566845,187,"MU"
-2.32926829268293,18.6829268292683,11.5731707317073,8.28048780487805,18.8292682926829,82,"MV"
0.166666666666667,19.0833333333333,14.9166666666667,9.875,21.75,24,"MW"
-0.578637966898797,19.7729944831329,11.5497874649543,8.00262277290404,20.4632359591209,11057,"MX"
-1.3414118269146,19.5443729620164,12.0746452806909,8.97030051996122,16.2212038424253,11347,"MY"
-0.807692307692308,16.8461538461538,10.7692307692308,7.73076923076923,22.1538461538462,26,"MZ"
-3.09090909090909,19.7922077922078,12.4285714285714,9.36363636363636,22.012987012987,77,NA
1.875,18.125,14.375,3.125,19,8,"NC"
0,13,16,-4,28,1,"NE"
-1.29201680672269,17.2909663865546,14.9674369747899,12.0220588235294,20.5672268907563,952,"NG"
-0.202312138728324,19.9479768786127,11.6531791907514,7.82658959537572,20.7630057803468,173,"NI"
0.967270123759845,17.1391019740207,13.7285465889332,8.9781118952644,21.4217039991818,9777,"NL"
0.989608021877849,17.6964448495898,13.7864175022789,9.6073837739289,21.1667274384686,10970,"NO"
-0.828660436137072,19.3006230529595,12.0311526479751,7.8411214953271,16.7834890965732,642,"NP"
3,10.5,16.5,10,22,2,"NU"
0.429088389282415,18.2663227594703,13.288266091777,8.98075146288882,19.6631506005544,12988,"NZ"
0.964912280701754,17.0350877192982,13.7850877192982,11.2061403508772,19.9429824561403,228,"OM"
-1.15151515151515,19.4494949494949,12.2828282828283,8.04040404040404,21.7929292929293,198,"PA"
-0.663023679417122,20.0066788099575,11.4207650273224,7.04310868245294,20.2416514875531,1647,"PE"
-0.875,16.625,15.375,5.375,22.25,8,"PF"
-1.75,15.2083333333333,17.0416666666667,12.7083333333333,21.5416666666667,24,"PG"
